prefix	sample_class	code_field	blank	sample_type	full_path	original_filename	investigation	investigation_id	study	assay	fileid
A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A03.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A03_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738.mzML	A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	32
A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A04.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A04_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	33
A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A04.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A04_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	A04_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	34
A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A04.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A04_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.raw	A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	35
A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A04.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A04_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163221/A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.mzML	A04_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	36
A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A05.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A05_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163221/A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4.raw	A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	37
A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A05.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A05_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163221/A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4.mzML	A05_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun4.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	38
A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A05.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A05_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163221/A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun.raw	A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	39
A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A05.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A05_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163221/A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun.mzML	A05_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	40
A06_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun3	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A06.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A06_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163221/A06_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun3.raw	A06_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS_rerun3.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	41
